label,text,text_len,num_words,cleaned_text
ham,Cause I'm not freaky lol,24,5,caus freaki lol
spam,"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",162,25,costa del sol holiday await collect call toclaim sae tc pobox stockport sk xh cost pm max min
ham,How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!,91,18,feel mr real valentin yo valentin even tho u hard play
ham,No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear,85,18,cancer mom make big deal regular checkup aka pap smear
ham,What I'm saying is if you haven't explicitly told nora I know someone I'm probably just not gonna bother,104,19,say explicit told nora know someon probabl gon na bother
ham,Please attend the phone:),25,4,pleas attend phone
ham,You can never do NOTHING,24,5,never noth
ham,hanks lotsly!,13,2,hank lotsli
ham,"Kind of. Just missed train cos of asthma attack, nxt one in half hr so driving in. not sure where to park.",106,22,kind miss train cos asthma attack nxt one half hr drive sure park
ham,Your gonna be the death if me. I'm gonna leave a note that says its all robs fault. Avenge me.,94,20,gon na death gon na leav note say rob fault aveng
ham,"K so am I, how much for an 8th? Fifty?",38,10,k much th fifti
ham,How long does applebees fucking take,36,6,long applebe fuck take
ham,Howz pain?hope u r fine..,25,5,howz pain hope u r fine
ham,Well at this right I'm gonna have to get up and check today's steam sales/pee so text me when you want me to come get you,121,26,well right gon na get check today steam sale pee text want come get
ham,"Honey, can you pls find out how much they sell Predicte in Nigeria. And how many times can it be used. Its very important to have a reply before monday",151,30,honey pls find much sell predict nigeria mani time use import repli monday
ham,Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.,137,24,lol know dramat school alreadi close tomorrow appar drive inch snow suppos get
ham,Watching tv lor. Nice one then i like lor.,42,9,watch tv lor nice one like lor
ham,Y bishan lei... I tot ü say lavender? ,38,9,bishan lei tot say lavend
ham,I not at home now lei...,24,6,home lei
ham,I went to project centre,24,5,went project centr
spam,URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM,150,24,urgent nd attempt contact u prize yesterday still await collect claim call acl pm
ham,Mm have some kanji dont eat anything heavy ok,45,9,mm kanji dont eat anyth heavi ok
spam,3. You have received your mobile content. Enjoy,47,8,receiv mobil content enjoy
ham,Stupid.its not possible,23,3,stupid possibl
spam,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18,156,25,guess somebodi know secret fanci wan na find give us call landlin datebox essexcm xn p min
ham,"Carlos is down but I have to pick it up from him, so I'll swing by usf in a little bit",86,21,carlo pick swing usf littl bit
ham,You can jot down things you want to remember later.,51,10,jot thing want rememb later
ham,"Miss ya, need ya, want ya, love ya.",35,8,miss ya need ya want ya love ya
spam,RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!,153,20,rt king pro video club need help info ringtonek co uk call must club credit redeem www ringtonek co uk enjoy
ham,Tiwary to rcb.battle between bang and kochi.,44,7,tiwari rcb battl bang kochi
ham,Hey... What time is your driving on fri? We go for evaluation on fri?,69,14,hey time drive fri go evalu fri
ham,"sir, you will receive the account no another 1hr time. Sorry for the delay.",75,14,sir receiv account anoth hr time sorri delay
ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,150,28,wnt buy bmw car urgent vri urgent hv shortag lt gt lac sourc arng dis amt lt gt lac that prob
spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 87077 Get txting and tell ur mates. zed POBox 36504 W45WQ norm150p/tone 16+,147,29,free st week nokia tone ur mob everi week txt nokia get txting tell ur mate zed pobox w wq norm p tone
ham,Well obviously not because all the people in my cool college life went home ;_;,79,15,well obvious peopl cool colleg life went home
spam,"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",156,28,shop till u drop either k k cash travel voucher call ntt po box cr bt fixedlin cost ppm mobil vari
spam,You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.,141,22,unsubscrib servic get ton sexi babe hunk straight phone go http gotbab co uk subscript
ham,What should i eat fo lunch senor,32,7,eat fo lunch senor
spam,You have 1 new voicemail. Please call 08719181513.,50,8,new voicemail pleas call
ham,"Huh... Hyde park not in mel ah, opps, got confused... Anyway, if tt's e best choice den we juz have to take it...",113,23,huh hyde park mel ah opp got confus anyway tt e best choic den juz take
ham,I'm in town now so i'll jus take mrt down later.,48,11,town jus take mrt later
ham,You stayin out of trouble stranger!!saw Dave the other day hes sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA! ,161,31,stayin troubl stranger saw dave day sort still bloke u gona get girl mr ur mum still think get getha
spam,Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Calls£1/minmoremobsEMSPOBox45PO139WA,146,27,u get phone wan na chat set meet call u cum moro luv jane xx call minmoremobsemspobox po wa
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,195,40,sorri pain ok meet anoth night spent late afternoon casualti mean done stuff moro includ time sheet sorri
ham,K da:)how many page you want?,29,6,k da mani page want
ham,"By the way, 'rencontre' is to meet again. Mountains dont....",60,10,way rencontr meet mountain dont
ham,"Pls send me a comprehensive mail about who i'm paying, when and how much.",73,14,pls send comprehens mail pay much
ham,"Omw back to tampa from west palm, you hear what happened?",57,11,omw back tampa west palm hear happen
ham,"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy",155,36,wonder got onlin love gone net cafe get phone recharg friend net think boytoy
ham,Its sarcasm.. .nt scarcasim,27,4,sarcasm nt scarcasim
ham,Alright took the morphine. Back in yo.,38,7,alright took morphin back yo
spam,"This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only £1.50/week. SavaMob - offers mobile!",158,24,week savamob member offer access call detail savamob pobox la wu week savamob offer mobil
ham,Have you always been saying welp?,33,6,alway say welp
ham,Mm so you asked me not to call radio,36,9,mm ask call radio
ham,MAYBE IF YOU WOKE UP BEFORE FUCKING 3 THIS WOULDN'T BE A PROBLEM.,65,13,mayb woke fuck problem
ham,I'm stuck in da middle of da row on da right hand side of da lt... ,67,17,stuck da middl da row da right hand side da lt
ham,I calls you later. Afternoon onwords mtnl service get problem in south mumbai. I can hear you but you cann't listen me.,119,22,call later afternoon onword mtnl servic get problem south mumbai hear cann listen
ham,Sitting in mu waiting for everyone to get out of my suite so I can take a shower,80,18,sit mu wait everyon get suit take shower
ham,Surly ill give it to you:-) while coming to review.,51,10,sur ill give come review
ham,I cant pick the phone right now. Pls send a message,51,11,cant pick phone right pls send messag
ham,Bognor it is! Should be splendid at this time of year.,54,11,bognor splendid time year
spam,Filthy stories and GIRLS waiting for your,41,7,filthi stori girl wait
ham,Si si. I think ill go make those oreo truffles.,47,10,si si think ill go make oreo truffl
ham,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week,157,31,would great guild could meet bristol road somewher get touch weekend plan take flight good week
ham,"It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day",92,20,cool let know kick around lt gt day
ham,Go fool dont cheat others ok,28,6,go fool dont cheat other ok
ham,Wait . I will msg after  &lt;#&gt;  min.,40,10,wait msg lt gt min
ham,Oh really?? Did you make it on air? What's your talent?,55,11,oh realli make air talent
spam,"Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/HF8",151,22,doubl min txts orang tariff latest motorola sonyericsson nokia bluetooth free call mobileupd call optout hf
ham,"Thursday night? Yeah, sure thing, we'll work it out then",56,10,thursday night yeah sure thing work
spam,Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,148,25,hi custom loyalti offer new nokia mobil txtauction txt word start get ctxt tc p mtmsg
ham,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas",156,29,mani peopl seem special first sight remain special till last sight maintain till life end sh jas
ham,Why de. You looking good only:-)..,34,6,de look good
ham,Yes. Rent is very expensive so its the way we save.,51,11,yes rent expens way save
ham,"Ola would get back to you maybe not today but I ve told him you can be his direct link in the US in getting cars he bids for online, you arrange shipping and you get a cut. Or U????? For a partnership where U????? Invest money for shipping and he takes care of the rest!U??Wud b self reliant soon dnt worry",306,62,ola would get back mayb today told direct link us get car bid onlin arrang ship get cut u partnership u invest money ship take care rest u wud b self reliant soon dnt worri
ham,HI DARLIN IM MISSIN U HOPE YOU ARE HAVING A GOOD TIME. WHEN ARE U BACK AND WHAT TIME IF U CAN GIVE ME A CALL AT HOME. JESS XX,125,30,hi darlin im missin u hope good time u back time u give call home jess xx
ham,"Good FRIENDS CaRE for each Other.. CLoSE Friends UNDERSTaND each Other... and TRUE Friends STaY forever beyond words, beyond time. Gud ni8",138,22,good friend care close friend understand true friend stay forev beyond word beyond time gud ni
ham,I'll be at mu in like  &lt;#&gt;  seconds,41,10,mu like lt gt second
ham,Usually the body takes care of it buy making sure it doesnt progress. Can we pls continue this talk on saturday.,112,21,usual bodi take care buy make sure doesnt progress pls continu talk saturday
ham,Nope watching tv at home... Not going out. V bored...,53,10,nope watch tv home go v bore
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,189,42,yeah got v apologet n fallen actin like spoilt child got caught till go bad cheer
ham,Did you stitch his trouser,26,5,stitch trouser
ham,I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts,66,14,want sent lt gt mesag today that sorri hurt
ham,Oh k.k..where did you take test?,32,6,oh k k take test
ham,Can you do online transaction?,30,5,onlin transact
ham,Carlos says he'll be at mu in  &lt;#&gt;  minutes,49,11,carlo say mu lt gt minut
ham,K.i did't see you.:)k:)where are you now?,41,7,k see k
ham,How much it will cost approx . Per month.,41,9,much cost approx per month
ham,"Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-(",105,22,good afternoon babe goe day job prospect yet miss love sigh
ham,When you came to hostel.,24,5,came hostel
ham,"Just gettin a bit arty with my collages at the mo, well tryin 2 ne way! Got a roast in a min lovely i shall enjoy that!",119,27,gettin bit arti collag mo well tryin ne way got roast min love shall enjoy
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,72,15,great hope like man well endow lt gt inch
ham,I am not at all happy with what you saying or doing,51,12,happi say
ham,"I‘ll leave around four, ok?",27,5,leav around four ok
ham,Ya srsly better than yi tho,27,6,ya srsli better yi tho
ham,LOL what happens in Vegas stays in vegas,40,8,lol happen vega stay vega
ham,Lol well don't do it without me. We could have a big sale together.,67,14,lol well without could big sale togeth
ham,Btw regarding that we should really try to see if anyone else can be our 4th guy before we commit to a random dude,114,24,btw regard realli tri see anyon els th guy commit random dude
ham,The length is e same but e top shorter n i got a fringe now. I thk i'm not going liao. Too lazy. Dun wan 2 distract u also.,123,29,length e e top shorter n got fring thk go liao lazi dun wan distract u also
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,107,27,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
ham,"Do 1 thing! Change that sentence into: ""Because i want 2 concentrate in my educational career im leaving here..""",112,19,thing chang sentenc want concentr educ career im leav
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",149,35,fight world easi u either win lose bt fightng close u dificult u lose u lose u win u still lose
ham,Nite nite pocay wocay luv u more than n e thing 4eva I promise ring u 2morrowxxxx,81,17,nite nite pocay wocay luv u n e thing eva promis ring u morrowxxxx
ham,No..but heard abt tat..,23,4,heard abt tat
ham,"""Gimme a few"" was  &lt;#&gt;  minutes ago",41,9,gim lt gt minut ago
ham,Yar lor actually we quite fast... Cos da ge slow wat... Haha...,63,12,yar lor actual quit fast cos da ge slow wat haha
ham,Ok...,5,1,ok
ham,Sry da..jst nw only i came to home..,36,8,sri da jst nw came home
ham,", ,  and  picking them up from various points | going 2 yeovil | and they will do the motor project 4 3 hours | and then u take them home. || 12 2 5.30 max. || Very easy",169,41,pick various point go yeovil motor project hour u take home max easi
spam,"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send ""go stop"" to 89123",149,26,welcom uk mobil date msg free give free call futur mgs bill p daili cancel send go stop
ham,May i call You later Pls,24,6,may call later pls
ham,Can ü send me a copy of da report?,34,9,send copi da report
ham,I asked you to call him now ok,30,8,ask call ok
ham,Ma head dey swell oh. Thanks for making my day,46,10,head dey swell oh thank make day
ham,Oh... Kay... On sat right?,26,5,oh kay sat right
ham,"I‘ve got some salt, you can rub it in my open wounds if you like!",65,15,got salt rub open wound like
ham,He is world famamus....,23,4,world famamus
ham,"Aight, lemme know what's up",27,5,aight lem know
spam,"Hack Chat. Get backdoor entry into 121 chat rooms at a fraction of the cost. Reply NEO69 or call 09050280520, to subscribe 25p pm. DPS, Bcm box 8027 Ldn, wc1n3xx",161,30,hack chat get backdoor entri chat room fraction cost repli neo call subscrib p pm dps bcm box ldn wc n xx
ham,Customer place i will call you.,31,6,custom place call
ham,How is your schedule next week? I am out of town this weekend.,62,13,schedul next week town weekend
ham,The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible,115,23,oz guy kinda flaki one friend interest pick lt gt worth tonight possibl
ham,Ü only send me the contents page...,35,7,send content page
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k",101,19,hot live fantasi call p per min ntt ltd po box croydon cr wb k
ham,Y lei?,6,2,lei
ham,Crucify is c not s. You should have told me earlier.,52,11,crucifi c told earlier
ham,Yeah whatever lol,17,3,yeah whatev lol
ham,"Awesome, plan to get here any time after like  &lt;#&gt; , I'll text you details in a wee bit",93,20,awesom plan get time like lt gt text detail wee bit
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",78,15,hear new divorc barbi come ken stuff
ham,U sure u can't take any sick time?,34,8,u sure u take sick time
ham,Are you this much buzy,22,5,much buzi
ham,hi my darlin im on my way to London and we have just been smashed into by another driver! and have a big dent! im really missing u what have u been up to? xxx,158,35,hi darlin im way london smash anoth driver big dent im realli miss u u xxx
ham,This pain couldn't have come at a worse time.,45,9,pain come wors time
ham,"If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to",99,23,still mayb leav credit card get gas get back like told
ham,I think the other two still need to get cash but we can def be ready by 9,73,18,think two still need get cash def readi
ham,"Sorry, I'll call later",22,4,sorri call later
spam,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p ",162,24,eeri nokia tone u rpli tone titl eg tone dracula titl ghost addamsfa munster exorcist twilight www getz co uk pobox w wq p
ham,Pls come quick cant bare this.,30,6,pls come quick cant bare
ham,Lol your right. What diet? Everyday I cheat anyway. I'm meant to be a fatty :(,78,16,lol right diet everyday cheat anyway meant fatti
ham,Mm yes dear look how i am hugging you both. :-P,47,11,mm yes dear look hug p
ham,True. Its easier with her here.,31,6,true easier
ham,How will I creep on you now? ;_;,32,8,creep
spam,"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or £1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH.",158,23,dear matthew pleas call landlin complimentari lux tenerif holiday cash await collect ppm sae cs box sk xh
ham,Huh so early.. Then ü having dinner outside izzit?,50,9,huh earli dinner outsid izzit
spam,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!,95,13,bore housew chat n date bt nation rate p min landlin
ham,Does she usually take fifteen fucking minutes to respond to a yes or no question,80,15,usual take fifteen fuck minut respond yes question
spam,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18,156,25,guess somebodi know secret fanci wan na find give us call landlin datebox essexcm xn p min
ham,Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?,91,20,eh sorri leh din c ur msg sad alreadi lar watch tv u still offic
spam,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs,143,22,dear u invit xchat final attempt contact u txt chat p msgrcvdhg suit land row w j hl ldn yrs
ham,"Babe, have you got enough money to pick up bread and milk ? And I'll give you it back when you get home ?",105,24,babe got enough money pick bread milk give back get home
ham,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!",179,35,thank much skype wit kz sura didnt get pleasur compani hope good given ultimatum oh countin aburo enjoy
ham,No dear i do have free messages without any recharge. Hi hi hi,62,13,dear free messag without recharg hi hi hi
ham,Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :),90,19,yes post coupl pic fb still snow outsid wake
ham,Its hard to believe things like this. All can say lie but think twice before saying anything to me.,99,19,hard believ thing like say lie think twice say anyth
ham,THANX 4 PUTTIN DA FONE DOWN ON ME!!,35,8,thanx puttin da fone
ham,And popping &lt;#&gt; ibuprofens was no help.,45,7,pop lt gt ibuprofen help
ham,I accidentally deleted the message. Resend please.,50,7,accident delet messag resend pleas
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",160,27,congrat year special cinema pass call c suprman v matrix starwar etc free bx ip pm dont miss
ham,Not..tel software name..,24,3,tel softwar name
ham,Still in customer place,23,4,still custom place
ham,Ok lor.,7,2,ok lor
ham,Hey anyway i have to :-),24,6,hey anyway
ham,Also remember to get dobby's bowl from your car,47,9,also rememb get dobbi bowl car
ham,"Sorry, I'll call later",22,4,sorri call later
ham,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...,79,17,bishan lar nearer need buy earli cos buy got ta park car
ham,"Sir, I am waiting for your mail.",32,7,sir wait mail
spam,"FREE RING TONE just text ""POLYS"" to 87131. Then every week get a new tone. 0870737910216yrs only £1.50/wk.",106,18,free ring tone text poli everi week get new tone yrs wk
ham,"Y cant u try new invention to fly..i'm not joking.,",51,10,cant u tri new invent fli joke
ham,Life spend with someone for a lifetime may be meaningless but a few moments spent with someone who really love you means more than life itself..,144,26,life spend someon lifetim may meaningless moment spent someon realli love mean life
ham,You still coming tonight?,25,4,still come tonight
ham,Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.,134,30,darren say dat u meet da ge den dun meet dinner cos later u leav xy feel awkward den u meet lunch lor
ham,I'm in school now n i'll be in da lab doing some stuff give me a call when ü r done.,84,21,school n da lab stuff give call r done
ham,What makes you most happy?,26,5,make happi
ham,yes baby! I need to stretch open your pussy!,44,9,yes babi need stretch open pussi
ham,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ...",129,29,hello boytoy geeee miss alreadi woke wish bed cuddl love
ham,Yes but I don't care cause I know its there!,44,10,yes care caus know
spam,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT + free camcorder Reply of call 08000930705 Now,135,27,tri call repli sms video mobil min unlimit text free camcord repli call
ham,K k:) sms chat with me.,23,6,k k sms chat
ham,Ya i knw u vl giv..its ok thanks kano..anyway enjoy wit ur family wit 1st salary..:-);-),88,16,ya knw u vl giv ok thank kano anyway enjoy wit ur famili wit st salari
ham,Cab is available.they pick up and drop at door steps.,53,10,cab avail pick drop door step
ham,I'm already back home so no probably not,40,8,alreadi back home probabl
ham,No plm i will come da. On the way.,34,9,plm come da way
ham,"Sure, I'll see if I can come by in a bit",40,11,sure see come bit
ham,Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748,121,24,book lesson msg call work sth go get spec membership px
ham,So wat's da decision?,21,4,wat da decis
ham,"All done, all handed in. Don't know if mega shop in asda counts as celebration but thats what i'm doing!",104,20,done hand know mega shop asda count celebr that
ham,"Aight, we'll head out in a few",30,7,aight head
ham,"Sir, I need AXIS BANK account no and bank address.",50,10,sir need axi bank account bank address
ham,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...,99,21,jus tell u dat b leav shanghai st instead haf time meet cya
ham,Thank u. IT BETTER WORK OUT CAUSE I WILL FEEL USED OTHERWISE,60,12,thank u better work caus feel use otherwis
ham,I know girls always safe and selfish know i got it pa. Thank you. good night.,77,16,know girl alway safe selfish know got pa thank good night
ham,hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?,110,23,hope thing went well doctor remind still need go u c littl thing left loung
spam,"Dear Voucher Holder, To claim this weeks offer, at your PC please go to http://www.wtlp.co.uk/text. Ts&Cs apply.",112,17,dear voucher holder claim week offer pc pleas go http www wtlp co uk text ts cs appli
spam,"URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !",163,27,urgent import inform user today lucki day find log onto http www urawinn com fantast surpris await
spam,Welcome! Please reply with your AGE and GENDER to begin. e.g 24M,64,12,welcom pleas repli age gender begin e g
ham,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8,127,29,friendship poem dear dear u r near hear dont get fear live cheer tear u r alway dear gud ni
ham,"Haha awesome, be there in a minute",34,7,haha awesom minut
ham,No da. . Vijay going to talk in jaya tv,39,10,da vijay go talk jaya tv
ham,Its ok..come to my home it vl nice to meet and v can chat..,59,14,ok come home vl nice meet v chat
spam,TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...,143,28,themob yo yo yo come new select hot download member get free click open next link sent ur fone
ham,When can ü come out?,20,5,come
ham,"Best line said in Love: . ""I will wait till the day I can forget u Or The day u realize that u cannot forget me.""... Gn",119,27,best line said love wait till day forget u day u realiz u forget gn
ham,I think i am disturbing her da,30,7,think disturb da
ham,"I don,t think so. You don't need to be going out that late on a school night. ESPECIALLY when the one class you have is the one you missed last wednesday and probably failed a test in on friday",193,39,think need go late school night especi one class one miss last wednesday probabl fail test friday
ham,Two teams waiting for some players,34,6,two team wait player
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",152,28,valu custom pleas advis follow recent review mob award bonus prize call
ham,Hi Harish's rent has been transfred to ur Acnt.,47,9,hi harish rent transfr ur acnt
